sample_id,stratum,chapter,file,block_index,block_type,issue_types,severities,content_snippet,manual_is_acceptable,manual_content_accuracy,manual_structure_accuracy,manual_formula_table_accuracy,manual_issue_type,manual_notes
S0001,discussion_normal,chapter17,data/structured/chapter17_001.json,2,discussion,,,"One technical comment before proceeding is that simple scale effects can also result in a change in the variance—if the coefficient of variation of a trait remains constant as its mean changes, then its variance must also change as well. As discussed in LW...",,,,,,
S0002,discussion_normal,chapter3,data/structured/chapter3_014.json,0,discussion,,,"Consider a large monocouous population of constant breeding size and variance in family size $ \sigma_k^2 = 4 $. Based on demographic considerations alone, from Equation 3.4, $ N_e \simeq 2N/3 $. Letting $ U = 1 $ and $ C = 1 $, Equation 3.35b implies that...",,,,,,
S0003,discussion_normal,chapter14,data/structured/chapter14_004.json,8,discussion,,,"Bulmer's approximation (Equation 14.4c) uses $$ \widetilde{p}=\frac{1+1/2}{20+1/40}\simeq0.075 $$ which returns $ x_{[1-0.075]} \simeq 1.44 $. Because $ \varphi(1.44) = 0.1415 $, $ E[\bar{\imath}_{(1,20)}] \simeq 0.1415/0.075 \simeq 1.89 $.",,,,,,
S0004,discussion_normal,chapter26,data/structured/chapter26_015.json,5,discussion,,,"Example 26.4. By using the inversions Curly and Moiré, McPhee and Robertson (1970) were able to select for sternopleural bristles in Drosophila under conditions of suppressed recombination on chromosomes II and III. From previous work, $ h^2 = 0.4 $, with t...",,,,,,
S0005,discussion_normal,chapter29,data/structured/chapter29_016.json,2,discussion,,,"While least-squares linear regressions are typically used to model the RS-to-MS relationship, Arnold (1994) noted that the functional nature of this relationship may be one of four general forms. First, there could be single-mating saturation, as when a sin...",,,,,,
S0006,discussion_normal,chapter15,data/structured/chapter15_005.json,3,discussion,,,"The presence of epistasis can result in a curvilinear selection response if $ \sigma_{AA}^{2}/\sigma_{z}^{2} $ is sufficiently large. However, as Figure 15.1 shows, any such curvilinearity is usually difficult to distinguish from a linear response, especial...",,,,,,
S0007,discussion_normal,chapter10,data/structured/chapter10_012.json,4,discussion,,,The nature of selection on third-base positions is further complicated by the observation that weak selection for preferred codons is not the only constraint on synonymous sites. Lawrie et al. (2013) estimated that roughly 20% of synonymous sites in Drosoph...,,,,,,
S0008,discussion_normal,chapter26,data/structured/chapter26_012.json,0,discussion,,,"Robertson's theory applies to the expected response from the existing variation in the base population at the start of selection. Eventually, mutational input becomes important and will ultimately dominate the long-term response, a point we will develop in...",,,,,,
S0009,discussion_normal,chapter4,data/structured/chapter4_001.json,1,discussion,,,"Although natural selection plays a major role in the evolution of many traits, three additional factors determine the patterns of genetic variation within and among populations. We refer to these factors—mutation, recombination, and random genetic drift—as...",,,,,,
S0010,discussion_normal,chapter29,data/structured/chapter29_032.json,0,discussion,,,"While there is a large body of theory for testing the significance of regression coefficients, much of it assumes homoscedastic and normally distributed residuals, $ e_w \sim N(0, \sigma_{e_w}^2) $, where the residual variance ($ \sigma_{e_w}^2 $) is a cons...",,,,,,
S0011,discussion_normal,chapter30,data/structured/chapter30_039.json,1,discussion,,,"Conner (1996) suggested that path analysis can be used to connect traits, their impact on fitness components, and the impact of those fitness components on the population growth rate, $ \lambda $ (namely, how changing the mean of a trait alters the mean pop...",,,,,,
S0012,discussion_normal,appendix3,data/structured/appendix3_001.json,4,discussion,,,"The realization in the early 1990s (Gelfand and Smith 1990) that one particular MCMC method, the Gibbs sampler, is widely applicable to a broad class of Bayesian problems sparked much of the current expansion in the use of Bayesian analysis. MCMC methods ha...",,,,,,
S0013,discussion_normal,chapter30,data/structured/chapter30_033.json,0,discussion,,,"Even if we are willing to assume that the best-fitting quadratic regression is a reasonable approximation of the individual fitness surface, there are still a number of important biological caveats to keep in mind (Chapters 20 and 29). For example, the fitn...",,,,,,
